"customer_id","customer_count"
243871,1
244015,1
244220,1
244364,1
244629,1
244762,1
245055,1
245154,1
245282,1
245440,1
245539,2
245642,1
245784,1
245846,1
246048,1
246145,1
246281,1
246304,1
246352,2
246540,1
246813,1
246835,1
247044,1
247131,1
247478,1
247563,1
247728,1
247754,1
247845,1
247848,1
248301,1
248612,1
248765,1
248976,1
249394,1
249451,1
249491,1
249769,4
250070,1
250253,1
250273,2
250342,1
250350,1
250399,1
250819,1
250910,1
250988,1
251161,1
251839,1
251998,1
252206,1
252339,1
252571,1
252856,1
253249,1
253251,1
254042,1
254069,1
254090,1
254115,1
254232,1
254405,1
254634,1
254882,2
255070,1
255633,1
255677,1
255890,1
256494,1
256509,1
257088,1
257111,1
257119,1
257279,1
257294,1
257479,1
257573,1
257728,1
257787,1
257838,1
257993,1
258299,1
258328,1
258367,1
258511,1
258708,1
258723,1
259204,1
259237,1
259289,1
259316,1
259518,1
259955,1
260007,1
260219,1
260491,1
260780,1
260816,1
260928,2
260956,1
261062,1
261081,1
261125,1
261319,1
261336,1
261337,1
261369,1
261534,1
261539,1
261633,1
261659,1
261932,1
262278,1
262323,1
262411,1
262510,1
262625,1
262887,1
262954,1
263116,1
263260,1
263281,1
263527,1
263685,1
263748,1
263952,1
264046,1
264079,1
264448,3
264540,1
264587,1
264729,1
264833,1
264914,1
265041,2
265061,1
265136,1
265533,1
265713,1
265735,1
265923,1
266037,1
266280,1
266595,1
266969,1
267104,1
267451,1
267821,1
267834,1
268108,1
268134,1
268205,1
268621,1
268660,1
268664,2
269107,1
269327,1
269549,1
269610,1
269709,1
269807,1
269893,1
270152,1
270226,1
270482,1
270767,1
270773,2
271140,1
271264,1
271305,1
271313,1
271429,1
271480,1
271575,1
272116,2
272343,2
273329,3
273398,1
273503,1
273537,1
273646,1
274383,3
275254,1
275361,1
275525,1
275538,1
275539,1
276061,1
276165,1
276473,1
276702,1
276772,1
276792,1
276816,1
276819,1
277029,1
277296,1
277408,1
277555,1
277582,1
277940,1
278094,1
278392,1
278482,2
278720,1
279002,1
279063,1
279269,1
279372,1
279415,1
279442,1
279544,1
279742,1
279844,1
280298,1
280657,1
280816,1
280880,1
280945,1
281192,1
281312,1
281403,1
281533,1
281744,1
282508,1
282529,1
282686,1
282814,1
282815,1
283143,1
283160,1
283185,1
283232,1
283251,1
283786,1
284266,1
284343,1
284606,1
284621,1
284864,1
284923,1
284929,1
285034,1
285214,1
285255,1
285779,1
286006,1
286007,1
286553,1
286589,1
286596,1
287086,1
287149,1
287456,2
287481,1
288048,1
288184,1
288318,1
288398,1
288518,2
288580,1
288633,1
288766,1
288821,1
288853,1
288900,1
289211,1
289276,1
289522,1
289594,1
289607,1
289870,1
289945,1
289964,1
290073,1
290142,1
290344,1
290862,1
291358,1
291426,1
291465,1
291503,1
292481,1
293429,1
293605,1
294088,1
294132,5
294448,1
294498,1
294902,1
295223,1
295295,1
295393,1
295547,1
295617,1
295647,1
295914,1
296538,1
296618,2
296834,1
296886,1
297199,1
297381,1
297521,1
297879,1
297988,1
298217,1
298430,1
298566,1
298766,1
298767,1
298884,1
299099,1
299568,1
299581,1
299720,1
299762,1
299814,1
299844,1
299971,1
300043,1
300055,1
300058,1
300091,1
300142,1
300149,1
300294,1
300389,1
300821,1
300940,1
301353,1
301504,1
302050,1
302647,1
302730,1
302930,1
303137,1
303264,1
303378,1
303557,1
303575,1
303614,1
303662,1
303730,1
303865,1
303948,1
303999,1
304046,1
304164,1
304253,1
304363,1
304397,1
304906,1
304977,1
305785,1
306711,1
307060,1
307486,1
307612,1
307842,1
307992,1
308040,1
308106,1
308161,1
308458,1
309084,1
309114,1
309185,1
309334,1
309357,1
309714,1
310485,1
310862,2
311521,1
311614,1
311683,1
311701,1
311967,1
312010,1
312197,1
312254,1
312313,1
312314,1
312762,1
312765,1
313289,1
313294,1
313683,1
314172,1
314301,1
314316,1
315056,1
315292,1
315813,1
315917,1
316319,1
316480,1
316591,1
316638,1
316906,1
316988,1
317150,1
317694,1
317906,1
317954,1
318008,1
318333,1
318641,1
318778,1
318797,1
318843,1
318852,1
318957,1
318998,1
319074,1
319306,1
319348,1
319787,1
320058,1
320094,1
320290,1
320380,1
